wordpress: 127.0.0.1 [16/Aug/2019:10:44:36 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=page&deleted=1 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 200 12345 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:36 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:38 +0500] "GET /wp-admin/post.php?post=3&action=delete&_wpnonce=b9ca0a37f1 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 302 469 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:38 +0500] "GET /wp-admin/edit.php?post_status=trash&post_type=page&deleted=1 HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 200 9914 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:38 +0500] "POST /wp-admin/admin-ajax.php HTTP/1.1" "http://wordpress/wp-admin/edit.php?post_status=trash&post_type=page" 200 549 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:42 +0500] "GET / HTTP/1.1" "-" 200 5125 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:42 +0500] "GET /wp-includes/css/dashicons.min.css?ver=5.2.2 HTTP/1.1" "http://wordpress/" 200 28873 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:42 +0500] "GET /wp-includes/css/admin-bar.min.css?ver=5.2.2 HTTP/1.1" "http://wordpress/" 200 21439 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:42 +0500] "GET /wp-includes/js/wp-embed.min.js?ver=5.2.2 HTTP/1.1" "http://wordpress/" 200 1743 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
wordpress: 127.0.0.1 [16/Aug/2019:10:44:42 +0500] "GET /wp-includes/css/dist/block-library/style.min.css?ver=5.2.2 HTTP/1.1" "http://wordpress/" 200 29623 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36" "-"
